time,pH,EC,ORP,Temperature
2023-12-01 01:45:39,6.522,1883.0,120.3,17.4
2023-12-01 01:48:39,6.496,1884.0,121.3,17.4
2023-12-01 01:51:39,6.526,1884.0,119.5,17.4
2023-12-01 01:54:38,6.517,1884.0,120.9,17.4
2023-12-01 01:57:38,6.509,1885.0,119.4,17.4
2023-12-01 02:00:38,6.517,1885.0,121.9,17.4
2023-12-01 02:03:37,6.512,1884.0,120.3,17.4
2023-12-01 02:06:37,6.52,1884.0,120.1,17.4
2023-12-01 02:09:37,6.515,1885.0,120.6,17.4
2023-12-01 02:12:37,6.512,1885.0,120.5,17.4
2023-12-01 02:15:37,6.524,1885.0,120.7,17.4
2023-12-01 02:18:36,6.509,1885.0,120.3,17.4
2023-12-01 02:21:36,6.499,1885.0,123.8,17.4
2023-12-01 02:24:36,6.524,1885.0,122.0,17.4
2023-12-01 02:27:36,6.513,1885.0,120.3,17.4
2023-12-01 02:30:36,6.511,1886.0,121.7,17.4
2023-12-01 02:33:36,6.517,1886.0,119.4,17.4
2023-12-01 02:36:41,6.513,1886.0,121.8,17.4
2023-12-01 02:39:41,6.527,1885.0,121.8,17.4
2023-12-01 02:42:40,6.508,1885.0,122.2,17.4
2023-12-01 02:45:40,6.526,1885.0,122.4,17.4
2023-12-01 02:48:40,6.524,1886.0,121.3,17.4
2023-12-01 02:51:39,6.5,1886.0,120.3,17.4
2023-12-01 02:54:39,6.52,1886.0,120.2,17.4
2023-12-01 02:57:39,6.513,1886.0,121.1,17.4
2023-12-01 03:00:39,6.514,1886.0,122.1,17.4
2023-12-01 03:03:38,6.523,1886.0,120.6,17.4
2023-12-01 03:06:38,6.507,1886.0,119.7,17.4
2023-12-01 03:09:38,6.523,1885.0,119.9,17.4
2023-12-01 03:12:37,6.512,1886.0,118.9,17.4
2023-12-01 03:15:37,6.511,1886.0,121.9,17.4
2023-12-01 03:18:37,6.522,1885.0,120.2,17.4
2023-12-01 03:21:37,6.501,1886.0,119.5,17.4
2023-12-01 03:24:37,6.515,1886.0,122.4,17.4
2023-12-01 03:27:36,6.526,1886.0,120.1,17.4
2023-12-01 03:30:36,6.502,1885.0,121.9,17.4
2023-12-01 03:33:36,6.526,1885.0,122.4,17.4
2023-12-01 03:36:36,6.511,1886.0,122.3,17.4
2023-12-01 03:39:36,6.511,1886.0,123.3,17.4
2023-12-01 03:42:36,6.52,1886.0,121.7,17.4
2023-12-01 03:45:36,6.498,1886.0,120.8,17.4
2023-12-01 03:48:35,6.516,1886.0,121.6,17.4
2023-12-01 03:51:35,6.515,1886.0,120.9,17.4
2023-12-01 03:54:35,6.517,1886.0,124.2,17.4
2023-12-01 03:57:35,6.528,1886.0,125.0,17.4
2023-12-01 04:00:34,6.51,1886.0,123.0,17.4
2023-12-01 04:03:34,6.532,1887.0,123.6,17.4
2023-12-01 04:06:34,6.527,1886.0,123.2,17.4
2023-12-01 04:09:34,6.519,1887.0,122.8,17.4
2023-12-01 04:12:34,6.522,1886.0,124.8,17.4
2023-12-01 04:15:33,6.503,1887.0,126.4,17.4
2023-12-01 04:18:33,6.514,1887.0,123.0,17.4
2023-12-01 04:21:33,6.517,1886.0,124.3,17.4
2023-12-01 04:24:33,6.517,1886.0,123.1,17.4
2023-12-01 04:27:32,6.515,1886.0,123.7,17.4
2023-12-01 04:30:32,6.508,1886.0,122.4,17.4
2023-12-01 04:33:32,6.52,1887.0,127.2,17.4
2023-12-01 04:36:32,6.518,1886.0,125.8,17.4
2023-12-01 04:39:31,6.515,1887.0,126.4,17.4
2023-12-01 04:42:31,6.519,1887.0,127.2,17.4
2023-12-01 04:45:31,6.513,1887.0,125.5,17.4
2023-12-01 04:48:31,6.514,1887.0,125.0,17.4
2023-12-01 04:51:30,6.524,1887.0,123.9,17.4
2023-12-01 04:54:30,6.502,1887.0,125.9,17.4
2023-12-01 04:57:30,6.522,1887.0,125.3,17.4
2023-12-01 05:00:30,6.524,1887.0,125.1,17.4
2023-12-01 05:03:29,6.514,1887.0,124.3,17.4
2023-12-01 05:06:29,6.524,1887.0,125.8,17.4
2023-12-01 05:09:29,6.502,1887.0,127.6,17.4
2023-12-01 05:12:29,6.522,1887.0,128.8,17.4
2023-12-01 05:15:28,6.517,1887.0,125.7,17.4
2023-12-01 05:18:28,6.511,1887.0,130.3,17.4
2023-12-01 05:21:28,6.512,1887.0,138.8,17.4
2023-12-01 05:24:28,6.511,1887.0,127.0,17.4
2023-12-01 05:27:27,6.52,1887.0,130.5,17.4
2023-12-01 05:30:27,6.529,1888.0,127.4,17.4
2023-12-01 05:33:32,6.509,1888.0,131.2,17.4
2023-12-01 05:36:31,6.514,1888.0,129.3,17.4
2023-12-01 05:39:31,6.527,1888.0,124.3,17.4
2023-12-01 05:42:31,6.507,1888.0,123.1,17.4
2023-12-01 05:45:31,6.522,1888.0,126.8,17.4
2023-12-01 05:48:30,6.503,1888.0,123.6,17.4
2023-12-01 05:51:30,6.51,1887.0,121.4,17.4
2023-12-01 05:54:30,6.525,1887.0,124.4,17.4
2023-12-01 05:57:30,6.508,1887.0,122.2,17.4
2023-12-01 06:00:29,6.517,1887.0,122.8,17.4
2023-12-01 06:03:29,6.503,1888.0,134.6,17.4
2023-12-01 06:06:29,6.514,1888.0,134.5,17.4
2023-12-01 06:09:29,6.514,1888.0,126.8,17.4
2023-12-01 06:12:29,6.515,1888.0,125.3,17.4
2023-12-01 06:15:28,6.511,1888.0,125.1,17.4
2023-12-01 06:18:28,6.517,1888.0,133.8,17.4
2023-12-01 06:21:28,6.504,1888.0,127.1,17.4
2023-12-01 06:24:27,6.511,1888.0,133.6,17.4
2023-12-01 06:27:27,6.499,1888.0,122.3,17.4
2023-12-01 06:30:27,6.525,1888.0,125.8,17.4
2023-12-01 06:33:27,6.524,1888.0,129.2,17.4
2023-12-01 06:36:26,6.513,1888.0,125.4,17.4
2023-12-01 06:39:26,6.511,1888.0,129.8,17.4
2023-12-01 06:42:26,6.499,1888.0,127.2,17.4
2023-12-01 06:45:26,6.506,1888.0,126.2,17.4
2023-12-01 06:48:25,6.515,1888.0,127.9,17.4
2023-12-01 06:51:25,6.515,1888.0,125.8,17.4
2023-12-01 06:54:25,6.522,1887.0,126.7,17.4
2023-12-01 06:57:25,6.503,1887.0,126.0,17.4
2023-12-01 07:00:24,6.503,1888.0,125.1,17.4
2023-12-01 07:03:24,6.51,1887.0,124.7,17.4
2023-12-01 07:06:24,6.501,1888.0,131.1,17.4
2023-12-01 07:09:23,6.522,1887.0,126.5,17.4
2023-12-01 07:12:23,6.516,1887.0,126.7,17.4
2023-12-01 07:15:23,6.507,1887.0,125.4,17.4
2023-12-01 07:18:23,6.529,1887.0,125.7,17.4
2023-12-01 07:21:24,6.503,1887.0,125.5,17.4
2023-12-01 07:24:23,6.518,1887.0,124.7,17.4
2023-12-01 07:27:23,6.523,1887.0,125.8,17.4
2023-12-01 07:30:23,6.5,1887.0,130.8,17.4
2023-12-01 07:33:23,6.525,1887.0,128.4,17.4
2023-12-01 07:36:22,6.503,1887.0,125.2,17.4
2023-12-01 07:39:22,6.504,1888.0,126.7,17.4
2023-12-01 07:42:22,6.523,1887.0,125.4,17.4
2023-12-01 07:45:21,6.514,1888.0,127.6,17.4
2023-12-01 07:48:21,6.52,1888.0,128.7,17.4
2023-12-01 07:51:21,6.511,1888.0,125.4,17.4
2023-12-01 07:54:21,6.513,1888.0,126.4,17.4
2023-12-01 07:57:20,6.523,1888.0,127.1,17.4
2023-12-01 08:00:20,6.509,1887.0,128.6,17.4
2023-12-01 08:03:20,6.509,1887.0,126.1,17.4
2023-12-01 08:06:20,6.517,1887.0,126.9,17.4
2023-12-01 08:09:19,6.506,1887.0,126.1,17.4
2023-12-01 08:12:19,6.528,1887.0,138.6,17.4
2023-12-01 08:15:19,6.503,1887.0,124.9,17.4
2023-12-01 08:18:19,6.518,1887.0,138.1,17.4
2023-12-01 08:21:18,6.522,1887.0,139.6,17.4
2023-12-01 08:24:18,6.515,1887.0,125.6,17.4
2023-12-01 08:27:18,6.527,1887.0,128.5,17.4
2023-12-01 08:30:18,6.505,1887.0,133.4,17.4
2023-12-01 08:33:17,6.506,1886.0,137.1,17.4
2023-12-01 08:36:17,6.523,1886.0,136.2,17.4
2023-12-01 08:39:17,6.505,1886.0,127.0,17.4
2023-12-01 08:42:17,6.51,1887.0,127.3,17.4
2023-12-01 08:45:16,6.523,1886.0,133.4,17.4
2023-12-01 08:48:16,6.514,1886.0,133.8,17.4
2023-12-01 08:51:16,6.526,1886.0,130.4,17.4
2023-12-01 08:54:15,6.514,1886.0,126.0,17.4
2023-12-01 08:57:15,6.516,1886.0,134.6,17.4
2023-12-01 09:00:15,6.526,1885.0,130.9,17.4
2023-12-01 09:03:15,6.504,1885.0,138.1,17.4
2023-12-01 09:06:14,6.525,1886.0,129.5,17.4
2023-12-01 09:09:14,6.515,1885.0,127.0,17.4
2023-12-01 09:12:14,6.507,1885.0,133.1,17.4
2023-12-01 09:15:14,6.526,1885.0,129.3,17.4
2023-12-01 09:18:13,6.501,1885.0,132.3,17.4
2023-12-01 09:21:13,6.517,1885.0,129.7,17.4
2023-12-01 09:24:13,6.522,1885.0,127.2,17.4
2023-12-01 09:27:13,6.509,1885.0,129.3,17.4
2023-12-01 09:30:12,6.515,1884.0,129.1,17.4
2023-12-01 09:33:12,6.501,1884.0,136.3,17.4
2023-12-01 09:36:12,6.511,1885.0,132.5,17.4
2023-12-01 09:39:11,6.518,1884.0,130.5,17.4
2023-12-01 09:42:11,6.505,1884.0,136.2,17.4
2023-12-01 09:45:11,6.522,1884.0,138.4,17.4
2023-12-01 09:48:11,6.511,1884.0,136.6,17.4
2023-12-01 09:51:10,6.506,1884.0,132.0,17.4
2023-12-01 09:54:10,6.514,1884.0,139.9,17.4
2023-12-01 09:57:10,6.512,1883.0,129.8,17.4
2023-12-01 10:00:10,6.509,1884.0,135.3,17.4
2023-12-01 10:03:09,6.525,1883.0,130.2,17.4
2023-12-01 10:06:09,6.505,1883.0,132.2,17.4
2023-12-01 10:09:09,6.518,1883.0,130.8,17.4
2023-12-01 10:12:09,6.505,1883.0,136.1,17.4
2023-12-01 10:15:09,6.526,1883.0,131.7,17.4
2023-12-01 10:18:08,6.517,1882.0,132.3,17.4
2023-12-01 10:21:08,6.513,1882.0,135.8,17.4
2023-12-01 10:24:08,6.532,1882.0,130.8,17.4
2023-12-01 10:27:08,6.513,1882.0,131.7,17.4
2023-12-01 10:30:07,6.516,1882.0,133.7,17.4
2023-12-01 10:33:07,6.521,1882.0,131.8,17.4
2023-12-01 10:36:07,6.508,1882.0,135.1,17.4
2023-12-01 10:39:07,6.519,1882.0,136.2,17.4
2023-12-01 10:42:06,6.513,1882.0,131.2,17.4
2023-12-01 10:45:06,6.511,1882.0,139.6,17.4
2023-12-01 10:48:06,6.52,1882.0,130.4,17.4
2023-12-01 10:51:05,6.514,1881.0,137.2,17.4
2023-12-01 10:54:05,6.521,1881.0,134.3,17.4
2023-12-01 10:57:05,6.517,1881.0,134.6,17.4
2023-12-01 11:00:05,6.521,1881.0,139.3,17.4
2023-12-01 11:03:04,6.523,1880.0,131.4,17.4
2023-12-01 11:06:04,6.504,1881.0,132.3,17.4
2023-12-01 11:09:04,6.522,1881.0,134.6,17.4
2023-12-01 11:12:03,6.522,1880.0,134.4,17.4
2023-12-01 11:15:03,6.507,1880.0,129.0,17.4
2023-12-01 11:18:03,6.53,1880.0,133.0,17.4
2023-12-01 11:21:03,6.506,1889.0,133.8,17.2
2023-12-01 11:24:04,6.514,1889.0,134.1,17.2
2023-12-01 11:27:05,6.525,1889.0,130.2,17.2
2023-12-01 11:30:05,6.516,1889.0,131.2,17.2
2023-12-01 11:33:06,6.514,1889.0,132.6,17.2
2023-12-01 11:36:07,6.522,1889.0,139.7,17.2
2023-12-01 11:39:07,6.519,1889.0,140.6,17.2
2023-12-01 11:42:08,6.531,1889.0,132.9,17.2
2023-12-01 11:45:09,6.516,1889.0,134.1,17.2
2023-12-01 11:48:09,6.524,1889.0,133.3,17.2
2023-12-01 11:51:10,6.517,1888.0,136.8,17.2
2023-12-01 11:54:10,6.518,1888.0,128.5,17.2
2023-12-01 11:57:11,6.531,1887.0,132.7,17.2
2023-12-01 12:00:12,6.519,1887.0,136.5,17.2
2023-12-01 12:03:12,6.523,1887.0,131.7,17.2
2023-12-01 12:06:13,6.532,1887.0,133.6,17.2
2023-12-01 12:09:14,6.506,1887.0,139.0,17.2
2023-12-01 12:12:14,6.533,1887.0,133.1,17.2
2023-12-01 12:15:15,6.514,1887.0,132.1,17.2
2023-12-01 12:18:15,6.519,1887.0,135.0,17.2
2023-12-01 12:21:16,6.53,1892.0,135.6,17.1
2023-12-01 12:24:17,6.505,1892.0,133.4,17.1
2023-12-01 12:27:17,6.524,1891.0,133.0,17.1
2023-12-01 12:30:18,6.529,1891.0,128.8,17.1
2023-12-01 12:33:18,6.52,1891.0,131.9,17.1
2023-12-01 12:36:19,6.521,1890.0,130.8,17.1
2023-12-01 12:39:20,6.51,1890.0,134.1,17.1
2023-12-01 12:42:20,6.527,1891.0,133.6,17.1
2023-12-01 12:45:21,6.529,1890.0,131.4,17.1
2023-12-01 12:48:21,6.519,1890.0,130.6,17.1
2023-12-01 12:51:22,6.531,1890.0,130.2,17.1
2023-12-01 12:54:23,6.507,1890.0,127.8,17.1
2023-12-01 12:57:23,6.512,1890.0,131.0,17.1
2023-12-01 13:00:24,6.529,1890.0,129.3,17.1
2023-12-01 13:03:25,6.513,1890.0,125.2,17.1
2023-12-01 13:06:25,6.529,1890.0,128.9,17.1
2023-12-01 13:09:26,6.522,1890.0,125.3,17.1
2023-12-01 13:12:26,6.519,1889.0,129.1,17.1
2023-12-01 13:15:27,6.535,1890.0,130.0,17.1
2023-12-01 13:18:28,6.515,1890.0,135.2,17.1
2023-12-01 13:21:28,6.524,1889.0,129.3,17.1
2023-12-01 13:24:29,6.522,1889.0,125.0,17.1
2023-12-01 13:27:30,6.522,1889.0,125.6,17.1
2023-12-01 13:30:30,6.522,1889.0,138.0,17.1
2023-12-01 13:33:31,6.52,1889.0,125.2,17.1
2023-12-01 13:36:32,6.524,1890.0,127.2,17.1
2023-12-01 13:39:32,6.529,1889.0,128.5,17.1
2023-12-01 13:42:33,6.521,1890.0,133.2,17.1
2023-12-01 13:45:34,6.531,1890.0,129.6,17.1
2023-12-01 13:48:34,6.519,1890.0,125.6,17.1
2023-12-01 13:51:35,6.521,1890.0,126.4,17.1
2023-12-01 13:54:35,6.533,1890.0,130.6,17.1
2023-12-01 13:57:36,6.514,1889.0,131.6,17.1
2023-12-01 14:00:37,6.52,1889.0,130.4,17.1
2023-12-01 14:03:38,6.529,1889.0,128.7,17.1
2023-12-01 14:06:38,6.522,1889.0,126.2,17.1
2023-12-01 14:09:39,6.539,1889.0,130.7,17.1
2023-12-01 14:12:39,6.519,1889.0,129.3,17.1
2023-12-01 14:15:40,6.529,1888.0,130.3,17.1
2023-12-01 14:18:40,6.532,1888.0,123.9,17.1
2023-12-01 14:21:41,6.517,1889.0,131.9,17.1
2023-12-01 14:24:42,6.537,1889.0,127.6,17.1
2023-12-01 14:27:42,6.523,1889.0,134.5,17.1
2023-12-01 14:30:43,6.537,1889.0,133.1,17.1
2023-12-01 14:33:44,6.534,1889.0,129.5,17.1
2023-12-01 14:36:44,6.513,1889.0,127.8,17.1
2023-12-01 14:39:45,6.526,1889.0,128.7,17.1
2023-12-01 14:42:46,6.518,1889.0,132.1,17.1
2023-12-01 14:45:46,6.526,1890.0,128.9,17.1
2023-12-01 14:48:47,6.535,1890.0,130.0,17.1
2023-12-01 14:51:48,6.524,1889.0,130.1,17.1
